Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0,1500,11.38354778289795,0.1984621286392212,16.70022201538086,18.770652770996094,8799.16506756444,313.47406005859375,182.87222290039062,58.337271213531494,0.06224864721298218,0.036314159631729126
0.1,1500,11.496208190917969,0.30703288316726685,16.698078155517578,18.91292381286621,8797.183984856056,315.8094787597656,282.85064697265625,89.56369757652283,0.040644094347953796,0.03640235215425491
0.2,1500,11.608867645263672,0.4156036376953125,16.6959285736084,19.05518913269043,8795.202319304863,318.1440734863281,382.7840270996094,120.31781673431396,0.030327461659908295,0.0364893414080143
0.3,1500,11.591004371643066,0.3319692313671112,16.69748878479004,18.97126579284668,8797.135026060085,316.7724914550781,305.8212890625,96.54287695884705,0.03790123388171196,0.03659094125032425
0.4,1500,11.480023384094238,0.27219027280807495,16.69874382019043,18.898052215576172,8798.64925167832,315.57373046875,250.79405212402344,79.47241067886353,0.045774705708026886,0.03637826070189476
0.5,1500,11.3418607711792,0.23534274101257324,16.70003890991211,18.81003189086914,8798.716278601374,314.1282653808594,216.84466552734375,69.03061270713806,0.05230408161878586,0.03610582649707794
0.6,1500,11.383050918579102,0.21640847623348236,16.700618743896484,18.759286880493164,8798.858492246813,313.29168701171875,199.40187072753906,63.647353649139404,0.05708597972989082,0.03633371368050575
0.7,1500,11.377254486083984,0.2107417732477188,16.700759887695312,18.763351440429688,8799.068898500926,313.3622131347656,194.1851348876953,61.96826100349426,0.05858973041176796,0.03630703687667847
0.8,1500,11.296529769897461,0.20302347838878632,16.701271057128906,18.726787567138672,8799.222769002547,312.76116943359375,187.07647705078125,59.814488887786865,0.06038455292582512,0.03611871227622032
0.9,1500,11.311798095703125,0.19938865303993225,16.70087432861328,18.749387741088867,8799.824845624424,313.13116455078125,183.73973083496094,58.67819786071777,0.06156424432992935,0.03612479194998741
1,1500,11.295571327209473,0.20120581984519958,16.701108932495117,18.710494995117188,8799.081721042727,312.48602294921875,185.39862060546875,59.33021306991577,0.060925863683223724,0.03614744544029236
1.1,1500,11.1954927444458,0.19863402843475342,16.702178955078125,18.6464900970459,8799.25599104267,311.43701171875,183.03250122070312,58.77031087875366,0.06116669252514839,0.035947855561971664
1.2,1500,11.184205055236816,0.19373847544193268,16.70327377319336,18.56161117553711,8799.295624353694,310.0396728515625,178.52227783203125,57.580459117889404,0.06264879554510117,0.0360734649002552
1.3,1500,11.199410438537598,0.19798380136489868,16.702848434448242,18.599821090698242,8799.268230741664,310.66998291015625,182.43360900878906,58.72263312339783,0.06138896569609642,0.036049216985702515
1.4,1500,11.127081871032715,0.19629445672035217,16.70281219482422,18.58933448791504,8799.676220708085,310.4941711425781,180.8853302001953,58.25724005699158,0.061514563858509064,0.035836685448884964
1.5,1500,11.109493255615234,0.192755326628685,16.703468322753906,18.540807723999023,8799.89886666119,309.69580078125,177.62850952148438,57.35580325126648,0.06254341453313828,0.03587227687239647
1.6,1500,11.085115432739258,0.19591853022575378,16.704011917114258,18.49495506286621,8799.075892614635,308.93994140625,180.52659606933594,58.434200286865234,0.061404332518577576,0.03588113188743591
1.7,1500,11.035378456115723,0.19421832263469696,16.70498275756836,18.4360294342041,8799.292710139647,307.9735412597656,178.96437072753906,58.110302686691284,0.06166243180632591,0.035832226276397705
1.8,1500,11.07296085357666,0.1921645551919937,16.70458984375,18.454458236694336,8799.427929671376,308.274169921875,177.0746307373047,57.440632581710815,0.06253273785114288,0.035919200628995895
1.9,1500,11.092948913574219,0.19520650804042816,16.7047119140625,18.435958862304688,8799.398204688108,307.9673767089844,179.87710571289062,58.40784311294556,0.06166959926486015,0.036019884049892426
2,1500,11.080726623535156,0.19692912697792053,16.702178955078125,18.617599487304688,8798.728518300368,310.9544677734375,181.4506378173828,58.35279822349548,0.06106744334101677,0.035634562373161316
2.1,1500,11.254973411560059,0.19749723374843597,16.698671340942383,18.876651763916016,8837.314460796142,315.2149963378906,182.77212524414062,57.983314990997314,0.06157926842570305,0.03570570424199104
2.2,1500,11.449106216430664,0.19899976253509521,16.697490692138672,18.967529296875,8865.179009817151,316.71014404296875,184.74330139160156,58.33197832107544,0.061973053961992264,0.03615010902285576
2.3,1500,11.547152519226074,0.20178797841072083,16.69605827331543,19.0766658782959,8878.231774528613,318.505126953125,187.60757446289062,58.90253186225891,0.06154949963092804,0.03625421226024628
2.4,1500,11.555834770202637,0.20338577032089233,16.696041107177734,19.0811824798584,8886.740696699751,318.5802001953125,189.27432250976562,59.411823749542236,0.06105336919426918,0.03627292066812515
2.5,1500,11.558444023132324,0.20364287495613098,16.695981979370117,19.088211059570312,8891.648815995808,318.6964416503906,189.61825561523438,59.498077630996704,0.06095638871192932,0.036267880350351334
2.6,1500,11.577174186706543,0.20157478749752045,16.69529914855957,19.12383270263672,8891.790446798437,319.2781066894531,187.69558715820312,58.78748893737793,0.061680588871240616,0.03626047074794769
2.7,1500,11.6235990524292,0.19981874525547028,16.695764541625977,19.10740852355957,8888.624444659003,319.0127868652344,185.99420166015625,58.30305218696594,0.062494415789842606,0.03643615171313286
2.8,1500,11.669952392578125,0.2011159062385559,16.695226669311523,19.148571014404297,8883.84629930939,319.6897277832031,187.10098266601562,58.525800704956055,0.06237247958779335,0.03650399670004845
2.9,1500,11.655320167541504,0.20312881469726562,16.695241928100586,19.143014907836914,8882.912585129094,319.5972595214844,188.95376586914062,59.12246108055115,0.061683449894189835,0.03646877408027649
3,1500,11.585558891296387,0.20457328855991364,16.69488525390625,19.157207489013672,8887.272249341719,319.827392578125,190.3908233642578,59.529244899749756,0.060851454734802246,0.03622441366314888
3.1,1500,11.524515151977539,0.20321069657802582,16.69545555114746,19.15032386779785,8890.354904959442,319.723388671875,189.1883087158203,59.17249321937561,0.06091557815670967,0.036045268177986145
3.2,1500,11.538919448852539,0.20176205039024353,16.694915771484375,19.16180992126465,8892.420499875156,319.9048156738281,187.8832550048828,58.73098969459534,0.06141536682844162,0.036069855093955994
3.3,1500,11.560956954956055,0.20103849470615387,16.695175170898438,19.15526580810547,8892.309176898603,319.8005065917969,187.20713806152344,58.53872299194336,0.06175489351153374,0.036150526255369186
3.4,1500,11.547712326049805,0.2020176351070404,16.69508171081543,19.133955001831055,8896.105814957566,319.44293212890625,188.19923400878906,58.91481637954712,0.0613589771091938,0.0361495316028595
3.5,1500,11.54749584197998,0.2026519924402237,16.695825576782227,19.108585357666016,8903.450217195972,319.0335998535156,188.94606018066406,59.22449827194214,0.06111530587077141,0.03619523346424103
3.6,1500,11.566518783569336,0.20434026420116425,16.695262908935547,19.130041122436523,8904.590257730717,319.3810729980469,190.54454040527344,59.66055989265442,0.06070244312286377,0.036215417087078094
3.7,1500,11.548348426818848,0.20356805622577667,16.69574546813965,19.10089111328125,8904.427061744149,318.90362548828125,189.82098388671875,59.522998332977295,0.06083809956908226,0.03621266037225723
3.8,1500,11.572579383850098,0.20181094110012054,16.69528579711914,19.128774642944336,8902.683778901908,319.3603515625,188.14569091796875,58.91329050064087,0.06150860711932182,0.03623674437403679
3.9,1500,11.600889205932617,0.1998160183429718,16.695755004882812,19.110370635986328,8899.53992478922,319.06207275390625,186.22006225585938,58.36483836174011,0.06229666620492935,0.03635935112833977
4,1500,11.615837097167969,0.20051059126853943,16.6950740814209,19.14771842956543,8896.228211947491,319.6725769042969,186.79783630371094,58.43411684036255,0.06218400225043297,0.03633667156100273
4.1,1500,11.660072326660156,0.2024780660867691,16.695085525512695,19.155200958251953,8894.674353018232,319.7977294921875,188.59780883789062,58.97409915924072,0.061825066804885864,0.03646077215671539
4.2,1500,11.668050765991211,0.2047121524810791,16.694551467895508,19.17003059387207,8890.682462618197,320.0350646972656,190.59317016601562,59.55384373664856,0.06121966615319252,0.036458663642406464
4.3,1500,11.658044815063477,0.20521946251392365,16.694120407104492,19.202604293823242,8886.067513255155,320.5705871582031,190.96632385253906,59.57075357437134,0.06104765087366104,0.0363665446639061
4.4,1500,11.635093688964844,0.20197898149490356,16.69487762451172,19.174413681030273,8885.998737803671,320.114501953125,187.94944763183594,58.713191747665405,0.06190544366836548,0.036346662789583206
4.5,1500,11.648231506347656,0.20077157020568848,16.69500732421875,19.162221908569336,8887.0105529204,319.9134216308594,186.84716796875,58.40554237365723,0.062340956181287766,0.03641057386994362
4.6,1500,11.683028221130371,0.20288193225860596,16.694494247436523,19.183942794799805,8886.462097836966,320.2662353515625,188.7995147705078,58.9508056640625,0.061880603432655334,0.03647911548614502
4.7,1500,11.685627937316895,0.20444440841674805,16.695144653320312,19.151042938232422,8883.864950279283,319.72943115234375,190.19793701171875,59.487152099609375,0.06143929809331894,0.036548491567373276
4.8,1500,11.637443542480469,0.20564502477645874,16.69468879699707,19.170495986938477,8885.99990348929,320.04547119140625,191.36087036132812,59.791773557662964,0.06081412360072136,0.03636184334754944
4.9,1500,11.578052520751953,0.20313499867916107,16.694610595703125,19.160491943359375,8891.698940477398,319.876953125,189.14642333984375,59.130990505218506,0.06121211498975754,0.03619533032178879
5,1500,11.548172950744629,0.2005520462989807,16.69520378112793,19.12312889099121,8898.43893472269,319.2645263671875,186.8828887939453,58.535438776016235,0.06179363280534744,0.03617117553949356
5.1,1500,11.545846939086914,0.20016847550868988,16.69516372680664,19.123764038085938,8904.713820406263,319.2743835449219,186.65699768066406,58.46288204193115,0.06185595691204071,0.03616277500987053
5.2,1500,11.567596435546875,0.2005200833082199,16.695524215698242,19.11330795288086,8908.341434050564,319.106689453125,187.06103515625,58.62022042274475,0.06183861941099167,0.036249931901693344
5.3,1500,11.567793846130371,0.20402298867702484,16.695140838623047,19.123249053955078,8907.878656860079,319.2653503417969,190.31893920898438,59.61152911186218,0.060781095176935196,0.036232538521289825
5.4,1500,11.572441101074219,0.2043456882238388,16.69576644897461,19.088430404663086,8906.309061174972,318.69598388671875,190.5863800048828,59.801942110061646,0.06072019040584564,0.03631185367703438
