Time;Input voltage [V];Input current [A];Motor revolutions [x100rpm];Controller temperature [°C];BEC voltage [V];BEC current [A];BEC temperature [°C];Input request [%];Incoming power [W];Cruising speed (car) [km/h];Motor temperature [°C];Battery temperature [°C];Output power [%];Automatic regulation;I*T fuse;Low voltage;High current;ESC overheated;Motor overheated;Battery overheated;HW current fuse;HW overvoltage/undervoltage;Pulse current [A];Capacity [%];Motor run time [s];Lowest cell [V];Highest cell [V];Lower cell index;Highest voltage cell index;
16:40:36.816;16.156;0.5;0;24;5.158;0.023;29;25.49;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:36.929;16.156;0;0;24;5.158;0.046;29;26.471;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:37.025;16.156;0.6;0;24;5.153;0.031;29;26.471;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:37.121;16.122;0.3;0;24;5.151;0.023;29;26.471;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:37.215;16.104;0;0;26;5.164;0.015;29;26.471;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:37.327;16.226;0;0;26;5.158;0.004;29;25.49;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:37.423;16.156;0;0;24;5.16;0.193;29;25.49;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:37.519;16.139;0;0;24;5.158;0.015;29;25.49;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:37.617;16.087;0;0;24;5.149;0.008;29;25.49;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:37.727;16.104;0.5;0;24;5.166;0.019;29;25.49;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:37.825;16.174;0.1;0;25;5.149;0.015;29;25.49;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:37.920;16.174;0;0;25;5.16;0.012;29;25.49;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:38.031;16.209;0;0;24;5.16;0.019;29;25.49;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:38.128;16.156;0;0;24;5.149;0.008;29;25.49;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:38.224;16.191;0;0;24;5.169;0.008;29;25.49;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:38.320;16.174;0.6;0;24;5.153;0.039;29;25.49;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:38.432;16.226;0.6;0;24;5.14;0.008;29;25.49;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
16:40:38.527;16.156;0;0;24;5.158;0.012;29;25.49;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
