Time;Input voltage [V];Input current [A];Motor revolutions [x100rpm];Controller temperature [°C];BEC voltage [V];BEC current [A];BEC temperature [°C];Input request [%];Incoming power [W];Cruising speed (car) [km/h];Motor temperature [°C];Battery temperature [°C];Output power [%];Automatic regulation;I*T fuse;Low voltage;High current;ESC overheated;Motor overheated;Battery overheated;HW current fuse;HW overvoltage/undervoltage;Pulse current [A];Capacity [%];Motor run time [s];Lowest cell [V];Highest cell [V];Lower cell index;Highest voltage cell index;
10:38:51.307;15.234;0;0;24;8.268;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:51.403;15.182;0.3;0;24;8.273;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:51.499;15.112;0.6;0;23;8.27;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:51.611;15.147;0;0;24;8.266;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:51.707;15.147;0.1;0;24;8.268;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:51.804;15.234;0;0;24;8.268;0.015;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:51.915;15.164;1.1;0;23;8.268;0;31;0;10;0;23;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:52.012;15.147;0;0;23;8.264;0;30;0;0;0;23;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:52.106;15.199;0;0;24;8.264;0;30;0;0;0;23;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:52.204;15.46;0.6;0;23;8.27;0;30;0;0;0;23;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:52.316;15.216;0;0;24;8.273;0.004;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:52.412;15.46;0.8;0;23;8.306;0;30;0;10;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:52.508;15.094;0.5;0;23;8.27;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:52.603;15.303;0;0;24;8.266;0.019;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:52.717;15.112;0.5;0;24;8.27;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:52.813;15.147;0;0;24;8.268;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:52.907;15.164;0.8;0;24;8.268;0;30;0;10;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:53.003;15.234;0;0;24;8.27;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:53.115;15.199;0;0;24;8.27;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:53.212;15.147;0;0;23;8.268;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:53.307;15.199;0.3;0;23;8.27;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:53.404;15.216;0;0;23;8.27;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:53.516;15.164;0.3;0;25;8.27;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:53.612;15.216;0.6;0;25;8.268;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:53.708;15.164;1.7;0;25;8.268;0;30;0;20;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:53.821;15.182;0.3;0;23;8.306;0.069;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:53.917;15.147;0.3;0;20;8.27;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:54.013;15.129;0;0;21;8.268;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:54.108;15.216;0.6;0;21;8.27;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:54.220;15.425;0.1;0;23;8.268;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:54.316;16.853;0.6;0;24;8.268;0;30;0;10;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:54.413;15.164;0;0;24;8.266;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:54.524;15.199;0.1;0;24;8.27;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:54.621;15.199;0;0;23;8.268;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:54.716;15.216;0;0;24;8.282;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:54.813;15.199;0;0;24;8.266;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:54.925;15.199;0;0;24;8.266;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:55.019;15.129;0.1;0;23;8.266;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:55.116;15.216;0.5;0;24;8.268;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:55.229;15.234;0.6;0;24;8.268;0;30;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:55.325;15.216;0.1;0;23;8.268;0.004;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:55.422;15.199;0.8;0;23;8.268;0;31;0;10;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:55.517;15.164;0.1;0;23;8.266;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:55.629;15.164;0;0;24;8.27;0.004;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
10:38:55.724;15.129;0.3;0;24;8.27;0;31;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
