Time (s),Take sample,Powertrain 1 ESC throttle - target (?s)
33.3,,1355.883
33.4,,1361.766
33.5,,1370.589
33.6,,1373.529
33.7,,1373.529
33.8,,1373.529
33.9,,1376.472
34,,1376.472
34.1,,1379.412
34.2,,1379.412
34.3,,1379.412
34.4,,1382.352
34.5,,1382.352
34.6,,1382.352
34.7,,1385.295
34.8,,1385.295
34.9,,1388.2350000000001
35,,1388.2350000000001
35.1,,1391.175
35.2,,1394.118
35.3,,1394.118
35.4,,1394.118
35.5,,1394.118
35.6,,1391.175
35.7,,1391.175
35.8,,1391.175
35.9,,1391.175
36,,1391.175
36.1,,1391.175
36.2,,1391.175
36.3,,1394.118
36.4,,1394.118
36.5,,1394.118
36.6,,1397.058
36.7,,1397.058
36.8,,1400.001
36.9,,1400.001
37,,1400.001
37.1,,1400.001
37.2,,1400.001
37.3,,1400.001
37.4,,1400.001
37.5,,1400.001
37.6,,1400.001
37.7,,1400.001
37.8,,1402.941
37.9,,1405.8809999999999
38,,1408.824
38.1,,1411.764
38.2,,1414.7069999999999
38.3,,1420.587
38.4,,1423.53
38.5,,1423.53
38.6,,1426.47
38.7,,1426.47
38.8,,1429.413
38.9,,1429.413
39,,1432.353
39.1,,1432.353
39.2,,1432.353
39.3,,1432.353
39.4,,1432.353
39.5,,1432.353
39.6,,1432.353
39.7,,1432.353
39.8,,1432.353
39.9,,1432.353
40,,1432.353
40.1,,1432.353
40.2,,1432.353
40.3,,1432.353
40.4,,1432.353
40.5,,1429.413
40.6,,1429.413
40.7,,1429.413
40.8,,1429.413
40.9,,1429.413
41,,1426.47
41.1,,1426.47
41.2,,1423.53
41.3,,1423.53
41.4,,1423.53
41.5,,1423.53
41.6,,1423.53
41.7,,1423.53
41.8,,1423.53
41.9,,1423.53
42,,1423.53
42.1,,1423.53
42.2,,1420.587
42.3,,1420.587
42.4,,1420.587
42.5,,1420.587
42.6,,1420.587
42.7,,1420.587
42.8,,1420.587
42.9,,1417.647
43,,1414.7069999999999
43.1,,1411.764
43.2,,1411.764
43.3,,1411.764
