Time (s),Take sample,Powertrain 1 ESC throttle - target (μs)
288.0, ,1329.412
289.0, ,1329.412
290.0, ,1329.412
291.0, ,1329.412
292.0, ,1329.412
293.0, ,1329.412
294.0, ,1329.412
295.0, ,1329.412
296.0, ,1329.412
297.0, ,1329.412
298.0, ,1329.412
299.0, ,1329.412
300.0, ,1329.412
301.0, ,1329.412
302.0, ,1329.412
303.0, ,1329.412
304.0, ,1329.412
305.0, ,1329.412
306.0, ,1329.412
307.0, ,1329.412
308.0, ,1327.45
309.0, ,1329.412
310.0, ,1329.412
311.0, ,1329.412
312.0, ,1329.412
313.0, ,1329.412
314.0, ,1329.412
315.0, ,1329.412
316.0, ,1329.412
317.0, ,1329.412
318.0, ,1329.412
319.0, ,1329.412
320.0, ,1329.412
321.0, ,1329.412
322.0, ,1329.412
323.0, ,1329.412
324.0, ,1329.412
325.0, ,1329.412
326.0, ,1329.412
327.0, ,1329.412
328.0, ,1329.412
329.0, ,1329.412
330.0, ,1329.412
331.0, ,1329.412
332.0, ,1329.412
333.0, ,1329.412
334.0, ,1329.412
335.0, ,1329.412
336.0, ,1329.412
337.0, ,1329.412
338.0, ,1329.412
339.0, ,1329.412
340.0, ,1329.412
341.0, ,1329.412
342.0, ,1329.412
343.0, ,1329.412
344.0, ,1329.412
345.0, ,1329.412
346.0, ,1329.412
347.0, ,1329.412
348.0, ,1329.412
349.0, ,1329.412
350.0, ,1329.412
351.0, ,1329.412
352.0, ,1329.412
353.0, ,1329.412
354.0, ,1329.412
355.0, ,1331.372
356.0, ,1329.412
357.0, ,1329.412
358.0, ,1329.412
359.0, ,1329.412
360.0, ,1329.412
361.0, ,1329.412
362.0, ,1329.412
363.0, ,1329.412
364.0, ,1329.412
365.0, ,1329.412
366.0, ,1329.412
367.0, ,1329.412
368.0, ,1329.412
369.0, ,1329.412
370.0, ,1329.412
371.0, ,1329.412
372.0, ,1329.412
373.0, ,1329.412
374.0, ,1329.412
375.0, ,1329.412
376.0, ,1329.412
377.0, ,1327.45
378.0, ,1329.412
379.0, ,1329.412
380.0, ,1329.412
381.0, ,1329.412
382.0, ,1329.412
383.0, ,1329.412
384.0, ,1329.412
385.0, ,1327.45
386.0, ,1313.726
387.0, ,1313.726
388.0, ,1313.726
389.0, ,1313.726
390.0, ,1313.726
391.0, ,1313.726
392.0, ,1313.726
393.0, ,1313.726
394.0, ,1313.726
395.0, ,1313.726
396.0, ,1313.726
397.0, ,1313.726
398.0, ,1313.726
399.0, ,1313.726
400.0, ,1313.726
401.0, ,1313.726
402.0, ,1313.726
403.0, ,1313.726
404.0, ,1313.726
405.0, ,1335.294
406.0, ,1335.294
407.0, ,1335.294
408.0, ,1335.294
409.0, ,1335.294
410.0, ,1335.294
