Time (s),MGM ESC throttle (μs),MGM force Fz (thrust) (N),MGM torque MZ (torque) (N⋅m),MGM voltage (V),MGM current (A),MGM rotation speed (rpm),MGM electrical power (W),MGM mechanical power (W),MGM motor & ESC efficiency (%),MGM propeller efficiency (N/W),MGM powertrain efficiency (N/W)
4.5,1000,0.000496713,4.00872E-05,16.956130981445312,-0.024831327,0,-0.421043217,0,0,0,-0.001179721
4.6,1000,0.000391382,-4.20786E-05,16.95612144470215,-0.02130748,0,-0.361292213,0,0,0,-0.001083284
4.7,1000,-0.000187666,-2.40546E-05,16.956132888793945,-0.018580228,0,-0.315048814,0,0,0,0.000595674
4.8,1000,0.000245483,-2.17684E-05,16.956125259399414,-0.027577307,0,-0.46760428,0,0,0,-0.00052498
4.9,1000,0.000783094,4.16359E-05,16.95612144470215,-0.032282513,0,-0.547386229,0,0,0,-0.001430606
5,1000,0.000244832,2.96495E-05,16.956106185913086,-0.030486019,0,-0.516924202,0,0,0,-0.000473632
5.1,1000,0.001043574,5.09979E-05,16.95611572265625,-0.032630205,21.811004724412076,-0.553281546,0.000116481,-0.021052817,5,-0.001886153
5.2,1000,0.000389178,2.63973E-05,16.95610809326172,-0.028907854,89.42253050072111,-0.490164697,0.000247192,-0.050430454,1.574393630027771,-0.000793974
5.3,1000,0.00061638,-6.87869E-06,16.956127166748047,-0.032229245,157.0340631072193,-0.546483159,-0.000113117,0.020699083688668907,-5,-0.001127904
5.4,1000,0.00047918,1.56487E-05,16.95612144470215,-0.035135604,224.6455957137175,-0.595763564,0.000368134,-0.061791996,1.301643729,-0.000804312
5.5,1000,0.001255656,2.39932E-05,16.95612144470215,-0.043160845,292.2571101063779,-0.731840551,0.000734314,-0.100337982,1.7099721431732178,-0.001715751
5.6,1000,0.000999112,-2.17216E-05,16.956127166748047,-0.038770217,359.8686427128761,-0.65739274,-0.000818586,0.12452000519260764,-1.220534205,-0.001519809
5.7,1000,0.00081375,-2.22178E-05,16.95612144470215,-0.031185517,427.48015710553653,-0.528785408,-0.000994595,0.18809052417054772,-0.818172336,-0.001538905
5.8,1000,0.000210362,5.20848E-06,16.95612144470215,-0.021498142,495.09167149819694,-0.36452511,0.000270038,-0.074079487,0.7790091633796692,-0.000577086
5.9,1000,-0.0004663,3.50617E-05,16.956125259399414,-0.029084165,562.7032223185329,-0.493154734,0.00206605,-0.418945681,-0.225696564,0.000945546
6,1200,-0.000547558,1.32733E-05,16.956146240234375,-0.03085004,630.3147731388689,-0.523097813,0.000876124,-0.167487655,-0.624977827,0.001046761
6.1,1200,-0.000715691,-0.007526563,16.940771102905273,1.0341168642044067,697.9262875315293,17.51873779296875,-0.550091386,-3.14001739,0.001301039,-4.08529E-05
6.2,1200,0.000488488,-0.031697642,16.933866500854492,1.5839589834213257,1150.1573745161156,26.82254981994629,-3.817797184,-14.23353553,-0.00012795,1.82119E-05
6.3,1200,-0.000599961,-0.019085608,16.936208724975586,1.4208589792251587,1785.9858406297747,24.06396484,-3.569543123,-14.83356208,0.000168078,-2.49319E-05
6.4,1200,-0.001075077,-0.010220842,16.937986373901367,1.2886639833450317,2147.921171088632,21.827373504638672,-2.298971653,-10.53251624,0.000467634,-4.92536E-05
6.5,1200,-0.000496648,-0.005473669,16.938926696777344,1.2309657335281372,2338.9175939694715,20.851238250732422,-1.340670466,-6.429692358,0.000370448,-2.38187E-05
6.6,1200,0.000364867,-0.00298604,16.939382553100586,1.2000035047531128,2446.1915615264516,20.32731819152832,-0.764917552,-3.763002902,-0.000477002,1.79496E-05
6.7,1200,-0.000165295,-0.001497577,16.939680099487305,1.1761127710342407,2500.138034836613,19.92297363,-0.392086357,-1.968011074,0.000421579,-8.29672E-06
6.8,1200,-0.000747966,-0.000992474,16.939762115478516,1.165129304,2529.0473295930688,19.73701286315918,-0.26284802,-1.331751794,0.002845623,-3.78966E-05
6.9,1200,0.000334591,-0.000330841,16.939926147460938,1.1469166278839111,2545.395487547602,19.428682327270508,-0.088186778,-0.45389994,-0.003794113,1.72215E-05
7,1200,0.000564609,-0.000308738,16.939970016479492,1.1449651718139648,2553.3751884480093,19.395675659179688,-0.082553193,-0.425626803,-0.006839334,2.911E-05
7.1,1200,-0.000128883,-0.000184942,16.940006256103516,1.140978217124939,2558.017240001679,19.32817840576172,-0.049541336,-0.256316643,0.002601519,-6.66813E-06
7.2,1200,0.000334603,-0.000108015,16.940046310424805,1.1287111043930054,2559.4618159042175,19.120418548583984,-0.028950837,-0.151413202,-0.011557628,1.74998E-05
