Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0.998073,1002,0.0016118679195642471,0.00007787910726619884,16.973230361938477,0.018930919468402863,0,0.3213188648223877,0,0,0,0.00501641258597374
5.998073,1250,-0.00712781073525548,0.00015092809917405248,16.973407745361328,1.8952192068099976,4027.658006127624,32.16832733154297,0.06365775316953659,0.19788953941315413,-0.11197081953287125,-0.00022157852072268724
10.998073,1300,-0.009197442792356014,0.00029887992423027754,16.97333335876465,2.5673696994781494,5373.0110402539785,43.576820373535156,0.16816790401935577,0.3859113436192274,-0.05469202622771263,-0.00021106272470206022
15.998073,1350,-0.014657100662589073,-0.00025213119806721807,16.9735164642334,3.247321844100952,6695.695860424517,55.11846923828125,-0.17678724229335785,-0.32074046321213245,0.08290813863277435,-0.00026591995265334845
20.998073,1400,-0.015255792997777462,-0.00044399339822120965,16.974132537841797,3.7793490886688232,8202.56192250822,64.15116882324219,-0.38137713074684143,-0.5944975186139345,0.04000185430049896,-0.00023781004711054265
25.998073,1450,-0.019609002396464348,-0.0004022184875793755,16.973094940185547,4.3595356941223145,9719.348552046878,73.99481201171875,-0.40938112139701843,-0.553256506100297,0.04789913818240166,-0.0002650051028467715
30.998073,1500,-0.02988370880484581,-0.0005137160769663751,16.973922729492188,4.857901573181152,11195.918444909694,82.45764923095703,-0.6022981405258179,-0.730433315038681,0.049616143107414246,-0.00036241282941773534
35.998073,1550,-0.011051560752093792,-0.0012766143772751093,16.97322654724121,5.187992095947266,12623.964925380309,88.05696868896484,-1.6876567602157593,-1.9165512174367905,0.006548464763909578,-0.0001255046809092164
40.998073,1600,-0.02083330973982811,-0.0016147351125255227,16.973609924316406,5.4014716148376465,13963.49973116408,91.6824722290039,-2.3611533641815186,-2.575359493494034,0.008823361247777939,-0.000227233293117024
45.998073,1650,-0.021613510325551033,-0.0016308370977640152,16.972856521606445,5.518336772918701,15338.253396535025,93.66194152832031,-2.6194801330566406,-2.7967391535639763,0.0082510681822896,-0.0002307608665432781
50.998073,1700,-0.01724325120449066,-0.001853889669291675,16.97303009033203,5.6465325355529785,16682.892739641546,95.8387680053711,-3.238797903060913,-3.3794235438108444,0.00532396649941802,-0.00017991937056649476
