Time (s),ARC_RD - ESC throttle (μs),ARC_RD - force Fz (thrust) (N),ARC_RD - torque MZ (torque) (N⋅m),ARC_RD - voltage (V),ARC_RD - current (A),ARC_RD - rotation speed (rpm),ARC_RD - electrical power (W),ARC_RD - mechanical power (W),ARC_RD - motor & ESC efficiency (%),ARC_RD - propeller efficiency (N/W),ARC_RD - powertrain efficiency (N/W)
0,1004,-0.085238948,0.000440068,16.96283531188965,0.34892675280570984,0,5.918787002563477,0,0,0,-0.014401422
0.1,1004,-0.080362901,9.83982E-05,16.96285629272461,0.3487417697906494,0,5.915656566619873,0,0,0,-0.013584781
0.2,1004,-0.075486854,-0.000243271,16.96287727355957,0.3485568165779114,0,5.912526607513428,0,0,0,-0.012767275
0.3,1004,-0.070610806,-0.000584941,16.96289635,0.34837183356285095,0,5.909395217895508,0,0,0,-0.011948906
0.4,1004,-0.065734759,-0.00092661,16.96291732788086,0.3481868505477905,0,5.906264781951904,0,0,0,-0.011129667
0.5,1004,-0.060858712,-0.00126828,16.96293830871582,0.3480018675327301,0,5.903134346008301,0,0,0,-0.010309559
0.6,1004,-0.055982664,-0.001609949,16.96295928955078,0.34781691431999207,0,5.9000043869018555,0,0,0,-0.009488581
0.7,1004,-0.051106617,-0.001951618,16.962980270385742,0.34763193130493164,0,5.896873474121094,0,0,0,-0.00866673
0.8,1004,-0.046230569,-0.002293288,16.96299934387207,0.3474469482898712,0,5.893742561340332,0,0,0,-0.007844009
0.9,1004,-0.041354522,-0.002634957,16.96302032470703,0.3472619950771332,0,5.8906121253967285,0,0,0,-0.007020412
1,1004,-0.050672337,-0.002030204,16.963027954101562,0.348859966,0,5.917721271514893,0,0,0,-0.008562813
1.1,1004,-0.066623196,-0.000908613,16.962993621826172,0.34068548679351807,0,5.779045581817627,0,0,0,-0.011528408
1.2,1004,-0.075118542,-0.000284853,16.962936401367188,0.3386465311050415,0,5.744439601898193,0,0,0,-0.013076739
1.3,1004,-0.080490023,5.56618E-05,16.96293830871582,0.330331415,0,5.603391647338867,0,0,0,-0.014364519
1.4,1004,-0.083069727,0.000240249,16.962900161743164,0.3354685604572296,0,5.69051981,0,0,0,-0.014597916
1.5,1004,-0.084303871,0.000384471,16.962902069091797,0.3373335897922516,0,5.722156524658203,0,0,0,-0.014732884
1.6,1004,-0.085843727,0.000478521,16.962875366210938,0.33717140555381775,0,5.719396591186523,0,0,0,-0.015009228
1.7,1004,-0.087358549,0.00053734,16.96285057067871,0.3385024964809418,0,5.741967201,0,0,0,-0.015214046
1.8,1004,-0.088157758,0.000531997,16.962873458862305,0.3370179533958435,0,5.716793060302734,0,0,0,-0.015420842
1.9,1004,-0.088425674,0.000469069,16.962839126586914,0.3502391576766968,0,5.9410505294799805,0,0,0,-0.014883845
2,1004,-0.088666253,0.000540196,16.96284294128418,0.33834123611450195,0,5.739229202270508,0,0,0,-0.015449157
2.1,1004,-0.089043796,0.000565349,16.96283721923828,0.33900904655456543,0,5.750555038452148,0,0,0,-0.015484382
2.2,1004,-0.089517079,0.000638012,16.96284294128418,0.3311461806297302,2.719236050730338,5.617180824279785,0.000181679,0.003234341,-5,-0.0159363
2.3,1004,-0.088905118,0.00063196,16.962833404541016,0.3121007978916168,46.25626770099578,5.294113636016846,0.003061179,0.057822309,-5,-0.016793201
2.4,1004,-0.089046583,0.000594501,16.96283721923828,0.3281203806400299,89.79330048962608,5.565852642059326,0.005590169,0.10043687652796507,-5,-0.015998732
2.5,1006,-0.089956298,0.000559784,16.962844848632812,0.3343771994113922,133.33032872479694,5.671988487243652,0.00781589,0.13779804576188326,-5,-0.015859745
2.6,1010,-0.089705087,0.000579185,16.962841033935547,0.33275869488716125,176.8673660668867,5.644532680511475,0.010727377,0.19004896748811007,-5,-0.015892385
2.7,1013,-0.090358987,0.000637337,16.96285057067871,0.33165889978408813,220.40439430205754,5.625880241394043,0.014710182324051857,0.2614734461531043,-5,-0.016061306
2.8,1025,-0.08740899,0.000664846,16.962915420532227,0.34953242540359497,263.9414043233906,5.929089069366455,0.018376260995864868,0.3099339781329036,-4.756625175,-0.014742398
2.9,1035,-0.080395438,0.00041937,16.962993621826172,0.3439345359802246,307.47846898623703,5.8341593742370605,0.013503318652510643,0.23145268205553293,-5,-0.013780124
3,1037,-0.070678301,0.009178757,16.96181297302246,0.36034730076789856,351.0154790075701,6.112143516540527,0.3373950719833374,5.520077794790268,-0.209482312,-0.011563587
3.1,1041,-0.049606152,0.011084927,16.96125602722168,0.37219271063804626,394.55252545657873,6.3128557205200195,0.45800086855888367,7.255049794912338,-0.10831017,-0.007857957
3.2,1043,-0.034657333,0.008188528,16.96133041381836,0.3853726387023926,438.0895719055874,6.536432743,0.37566208839416504,5.747203528881073,-0.092256665,-0.005302179
3.3,1046,-0.027040983,0.005201821,16.961456298828125,0.3682830035686493,479.14228730816563,6.246615886688232,0.26100483536720276,4.1783396154642105,-0.103603378,-0.004328901
3.4,1052,-0.020537034,0.003633427,16.961435317993164,0.3570898175239563,488.9792532476825,6.056756019592285,0.18605248630046844,3.071817569434643,-0.110383011,-0.003390765
3.5,1058,-0.016192609,0.003943283,16.9609375,0.3642521798610687,505.5741358488745,6.178058624267578,0.20877157151699066,3.379242494702339,-0.077561371,-0.002620987
3.6,1066,-0.007013775,0.006540705,16.95959473,0.3847050964832306,550.5778697994949,6.524442672729492,0.377113402,5.780009552836418,-0.018598584,-0.001075
3.7,1070,0.003338289,0.008260583,16.958358764648438,0.42444688081741333,627.1131447327226,7.197922706604004,0.5424818396568298,7.536644488573074,0.006153735,0.000463785
