Time (s),ARC RD - ESC throttle (μs),ARC RD - force Fz (thrust) (N),ARC RD - torque MZ (torque) (N⋅m),ARC RD - voltage (V),ARC RD - current (A),ARC RD - rotation speed (rpm),ARC RD - electrical power (W),ARC RD - mechanical power (W),ARC RD - motor & ESC efficiency (%),ARC RD - propeller efficiency (N/W),ARC RD - powertrain efficiency (N/W)
3.4,1000,0.057257883,-0.006339835,16.974506378173828,-0.174451575,0,-2.961229324,0,0,0,-0.019335849
3.5,1000,0.048400506377220154,-0.005006612,16.974288940429688,-0.121444948,0,-2.06144166,0,0,0,-0.023478961
3.6,1000,0.038752712309360504,0.005139476,16.97420310974121,-0.073921405,133.03044699255778,-1.254756927,0.071597613,-5.706093833,0.5412570834159851,-0.030884637
3.7,1000,0.081001446,0.008932106,16.974119186401367,-0.037483893,318.9546438988814,-0.636256099,0.29833996295928955,-46.88991904,0.271507204,-0.127309501
3.8,1000,0.093782209,0.009904874,16.974069595336914,0.019885001704096794,500.1222242118569,0.33752939105033875,0.5187447667121887,153.6887764930725,0.18078680336475372,0.277849019
3.9,1000,0.11615116149187088,0.010452081449329853,16.97403335571289,0.081287533,682.1713907013844,1.3797773122787476,0.7466634511947632,54.11478281021118,0.15556025505065918,0.084181093
4,1000,0.15964314341545105,0.011335258,16.973796844482422,0.1617840975522995,870.4688870989906,2.7460904121398926,1.033268690109253,37.626901268959045,0.1545030176639557,0.058134701
4.1,1000,0.21177582442760468,0.012405409,16.973735809326172,0.2504173219203949,1061.4253123920505,4.250517368,1.378888487815857,32.440486550331116,0.15358443558216095,0.049823541194200516
4.2,1000,0.26591384410858154,0.013692331500351429,16.973661422729492,0.3531099259853363,1254.3212928433406,5.993568420410156,1.7985180616378784,30.007469654083252,0.1478516310453415,0.044366531
4.3,1000,0.32770395278930664,0.015144762583076954,16.973567962646484,0.4475691616535187,1448.1704398536845,7.596845626831055,2.296734333,30.232736468315125,0.14268256723880768,0.043136846
4.4,1000,0.39606112241744995,0.016933053731918335,16.973493576049805,0.5575861930847168,1642.635797424028,9.464185715,2.9127633571624756,30.776691436767578,0.13597436249256134,0.04184841
4.5,1000,0.4760952591896057,0.018907353281974792,16.973482131958008,0.6685488820075989,1837.0233454793465,11.347602844238281,3.6372573375701904,32.05309212207794,0.1308940201997757,0.041955583
4.6,1000,0.5811743140220642,0.020761468,16.974132537841797,0.817040741,2030.8252822221473,13.868557929992676,4.415289878845215,31.83669149875641,0.1316276639699936,0.041905895
4.7,1000,0.6933146715164185,0.022884311,16.97437858581543,0.9472582936286926,2224.2499739567097,16.079120635986328,5.330280303955078,33.15032124519348,0.13007095456123352,0.043118943
4.8,1000,0.816105306,0.025331463664770126,16.97443389892578,1.0748587846755981,2416.829835039374,18.245119094848633,6.411135673522949,35.13890803,0.12729495763778687,0.044730059802532196
4.9,1000,0.9530014395713806,0.027391014620661736,16.974458694458008,1.221439242362976,2608.845795704162,20.73327065,7.483161926269531,36.09253168106079,0.127352774,0.045964840799570084
5,1000,1.0966391563415527,0.029934136,16.974363327026367,1.374769687652588,2800.0424250899528,23.335840225219727,8.777279854,37.61287331581116,0.1249406561255455,0.046993773
5.1,1000,1.2571040391921997,0.032595824,16.974199295043945,1.5346020460128784,2990.683313857196,26.048641204833984,10.208477973937988,39.19006288051605,0.12314313650131226,0.048259869
5.2,1000,1.4204922914505005,0.035449918,16.974044799804688,1.697776198387146,3180.1640540127773,28.81812858581543,11.805744171142578,40.96637964248657,0.12032212316989899,0.049291622
5.3,1000,1.5986441373825073,0.038479410111904144,16.973867416381836,1.886366605758667,3369.0634084662074,32.01893615722656,13.575824737548828,42.39935874938965,0.117756687,0.049928084
5.4,1000,1.7814891338348389,0.041681517,16.973588943481445,2.079207659,3557.6824155284244,35.29161453,15.528850555419922,44.00152862071991,0.11472124606370926,0.050479103
5.5,1000,1.981222152709961,0.045086853206157684,16.973453521728516,2.2936460971832275,3745.812417473744,38.931095123291016,17.685794830322266,45.428451895713806,0.11202336102724075,0.050890479
5.6,1000,2.1716220378875732,0.048315994,16.973234176635742,2.5188088417053223,3933.2975038507125,42.75233078,19.901065826416016,46.549659967422485,0.10912089049816132,0.050795406103134155
5.7,1000,2.373723030090332,0.052343726,16.972841262817383,2.7761332988739014,4119.977101465402,47.11886978149414,22.58333396911621,47.928428649902344,0.10510950535535812,0.050377335
5.8,1000,2.6105589866638184,0.057899393141269684,16.9725399,3.045055866241455,4307.257318594945,51.68233108520508,26.115806579589844,50.53139925003052,0.099960878,0.050511632
5.9,1000,2.8780312538146973,0.061250377,16.972211837768555,3.343597650527954,4495.329327680752,56.74824905395508,28.833602905273438,50.809675455093384,0.099815182,0.050715774
6,1000,3.1607208251953125,0.06566491,16.97197723388672,3.643202781677246,4682.754964091185,61.83235549926758,32.200557708740234,52.07719802856445,0.098157331,0.051117587834596634
6.1,1000,3.4826314449310303,0.073036529,16.971651077270508,3.9639792442321777,4868.780320652575,67.27527618408203,37.23822021484375,55.352020263671875,0.093523033,0.051766887
6.2,1000,3.9783384799957275,0.076904878,16.971248626708984,4.322854042053223,5054.420418117102,73.36422729492188,40.70557403564453,55.48422336578369,0.097734496,0.054227222
