Time (s),Take sample,Powertrain 1 ESC throttle - target (?s)
30.9,x,1039.22
31,x,1039.22
31.1,x,1019.6
31.2,x,1019.6
31.3,x,1019.6
31.4,x,1039.22
31.5,x,1039.22
31.6,x,1039.22
31.7,x,1039.22
31.8,x,1039.22
31.9,x,1039.22
32,x,1019.6
32.1,x,1019.6
32.2,x,1019.6
32.3,x,1019.6
32.4,x,1019.6
32.5,x,1000
32.6,x,1000
32.7,x,1000
32.8,x,1000
32.9,x,1000
33,x,1000
33.1,x,1000
33.2,x,1019.6
33.3,x,1039.22
33.4,x,1078.44
33.5,x,1137.26
33.6,x,1156.86
33.7,x,1156.86
33.8,x,1156.86
33.9,x,1176.48
34,x,1176.48
34.1,x,1196.08
34.2,x,1196.08
34.3,x,1196.08
34.4,x,1215.68
34.5,x,1215.68
34.6,x,1215.68
34.7,x,1235.3
34.8,x,1235.3
34.9,x,1254.9
35,x,1254.9
35.1,x,1274.5
35.2,x,1294.12
35.3,x,1294.12
35.4,x,1294.12
35.5,x,1294.12
35.6,x,1274.5
35.7,x,1274.5
35.8,x,1274.5
35.9,x,1274.5
36,x,1274.5
36.1,x,1274.5
36.2,x,1274.5
36.3,x,1294.12
36.4,x,1294.12
36.5,x,1294.12
36.6,x,1313.72
36.7,x,1313.72
36.8,x,1333.34
36.9,x,1333.34
37,x,1333.34
37.1,x,1333.34
37.2,x,1333.34
37.3,x,1333.34
37.4,x,1333.34
37.5,x,1333.34
37.6,x,1333.34
37.7,x,1333.34
37.8,x,1352.94
37.9,x,1372.54
38,x,1392.16
38.1,x,1411.76
38.2,x,1431.38
38.3,x,1470.58
38.4,x,1490.2
38.5,x,1490.2
38.6,x,1509.8
38.7,x,1509.8
38.8,x,1529.42
38.9,x,1529.42
39,x,1549.02
39.1,x,1549.02
39.2,x,1549.02
39.3,x,1549.02
39.4,x,1549.02
39.5,x,1549.02
39.6,x,1549.02
39.7,x,1549.02
39.8,x,1549.02
39.9,x,1549.02
40,x,1549.02
40.1,x,1549.02
40.2,x,1549.02
40.3,x,1549.02
40.4,x,1549.02
40.5,x,1529.42
40.6,x,1529.42
40.7,x,1529.42
40.8,x,1529.42
40.9,x,1529.42
41,x,1509.8
41.1,x,1509.8
41.2,x,1490.2
41.3,x,1490.2
41.4,x,1490.2
41.5,x,1490.2
41.6,x,1490.2
41.7,x,1490.2
41.8,x,1490.2
41.9,x,1490.2
42,x,1490.2
42.1,x,1490.2
42.2,x,1470.58
42.3,x,1470.58
42.4,x,1470.58
42.5,x,1470.58
42.6,x,1470.58
42.7,x,1470.58
42.8,x,1470.58
42.9,x,1450.98
43,x,1431.38
43.1,x,1411.76
43.2,x,1411.76
43.3,x,1411.76
43.4,x,1372.54
43.5,x,1372.54
43.6,x,1352.94
43.7,x,1352.94
43.8,x,1352.94
43.9,x,1333.34
44,x,1313.72
44.1,x,1294.12
44.2,x,1294.12
44.3,x,1274.5
44.4,x,1254.9
44.5,x,1254.9
44.6,x,1235.3
44.7,x,1235.3
44.8,x,1235.3
44.9,x,1235.3
45,x,1235.3
45.1,x,1235.3
45.2,x,1235.3
45.3,x,1215.68
45.4,x,1215.68
45.5,x,1215.68
45.6,x,1235.3
45.7,x,1235.3
45.8,x,1235.3
45.9,x,1215.68
46,x,1176.48
46.1,x,1176.48
46.2,x,1176.48
46.3,x,1176.48
46.4,x,1156.86
46.5,x,1156.86
46.6,x,1156.86
46.7,x,1156.86
46.8,x,1156.86
46.9,x,1156.86
47,x,1156.86
47.1,x,1156.86
47.2,x,1156.86
47.3,x,1137.26
47.4,x,1137.26
47.5,x,1137.26
47.6,x,1137.26
47.7,x,1137.26
47.8,x,1137.26
47.9,x,1117.64
48,x,1098.04
48.1,x,1078.44
48.2,x,1058.82
48.3,x,1039.22
48.4,x,1039.22
48.5,x,1039.22
48.6,x,1039.22
48.7,x,1039.22
48.8,x,1039.22
48.9,x,1039.22
49,x,1039.22
49.1,x,1039.22
49.2,x,1039.22
49.3,x,1039.22
49.4,x,1019.6
49.5,x,1019.6
49.6,x,1019.6
49.7,x,1000
49.8,x,1000
49.9,x,1000
50,x,1000
50.1,x,1000
50.2,x,980.4
50.3,x,960.78
50.4,x,941.18
50.5,x,921.56
50.6,x,921.56
50.7,x,921.56
50.8,x,921.56
50.9,x,921.56
51,x,921.56
