Time (s),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0.996395,0.11479932814836502,0,0,0,-0.0018503826577216387
1.996395,0.24469448626041412,0,0,0,0.005784643813967705
2.996395,25.564559936523438,13.126312255859375,51.345741748809814,-0.06763714551925659,-0.034728795289993286
3.996395,176.05264282226562,113.18061828613281,64.28793668746948,-0.06466618925333023,-0.04157256335020065
4.996395,677.003662109375,442.9609375,65.42961597442627,-0.04402024671435356,-0.028802277520298958
5.996395,1492.831298828125,911.9208984375,61.08666658401489,-0.03348702937364578,-0.020456109195947647
6.996395,1593.2044677734375,829.1840209960938,52.04504728317261,-0.034945785999298096,-0.018187550827860832
7.996395,1604.4521484375,823.8732299804688,51.34919285774231,-0.03497082740068436,-0.017957238480448723
8.996395,1608.0963134765625,819.553466796875,50.964200496673584,-0.03488552197813988,-0.01777912862598896
9.996395,1613.3466796875,816.6300659179688,50.617146492004395,-0.03540855273604393,-0.017922798171639442
10.996395,1609.4365234375,816.9407958984375,50.75942873954773,-0.035352300852537155,-0.01794462651014328
11.996395,1618.9051513671875,818.3787841796875,50.55136680603027,-0.03488759696483612,-0.01763615943491459
12.996395,1618.80322265625,819.6201782226562,50.631242990493774,-0.03527379035949707,-0.017859559506177902
13.996395,777.2962036132812,280.1460266113281,36.04108989238739,-0.07613226771354675,-0.027438899502158165
14.996395,-0.357415109872818,-3.043267250061035,200,0.11064241826534271,0.9420822858810425
15.996395,-2.206181526184082,-0.32406243681907654,14.68883752822876,0.4623900055885315,0.06791971623897552
16.996395,-2.532166004180908,0,0,0,0.05923034995794296
17.996395,-1.9545762538909912,0,0,0,0.07837828248739243
18.996395,-1.0973435640335083,0,0,0,0.13944995403289795
19.996395,-0.8911653757095337,0,0,0,0.17328394949436188
20.996395,-0.8759788274765015,0,0,0,0.1748795360326767
21.996395,-0.8878825902938843,0,0,0,0.1756807267665863
22.996395,-0.8940976858139038,0,0,0,0.17420659959316254
23.996395,-0.9770146608352661,0,0,0,0.16180981695652008
24.996395,-0.9473094940185547,0,0,0,0.166392982006073
25.996395,-0.7697208523750305,0,0,0,0.20715537667274475
26.996395,-1.2221944332122803,0,0,0,0.1299363225698471
27.996395,-0.973706066608429,0,0,0,0.16377483308315277
28.996395,-1.0621377229690552,0,0,0,0.1513589769601822
29.996395,-1.028852105140686,0,0,0,0.15507379174232483
30.996395,-1.0101181268692017,0,0,0,0.1594403088092804
31.996395,-0.9830574989318848,0,0,0,0.16444094479084015
32.996395,-0.9945306181907654,0,0,0,0.1634441316127777
33.996395,-0.6284452676773071,0,0,0,0.25755175948143005
34.996395,-0.8876940608024597,0,0,0,0.18376001715660095
35.996395,-1.063327670097351,0,0,0,0.15332983434200287
36.996395,-1.1536983251571655,0,0,0,0.1412382870912552
37.996395,-1.6377475261688232,0,0,0,0.10002931952476501
38.996395,-1.2328294515609741,0,0,0,0.13302350044250488
39.996395,-1.0443742275238037,0,0,0,0.1564100831747055
40.996395,-1.1386183500289917,0,0,0,0.14456364512443542
41.996395,-1.0514717102050781,0,0,0,0.15560956299304962
42.996395,-1.1522494554519653,0,0,0,0.14395543932914734
43.996395,-1.2512871026992798,0,0,0,0.13389652967453003
44.996395,-1.111749529838562,0,0,0,0.14981400966644287
45.996395,-1.6820118427276611,0,0,0,0.09923981875181198
46.996395,-1.2625219821929932,0,0,0,0.1331208199262619
47.996395,-1.1465463638305664,0,0,0,0.1458646059036255
48.996395,-1.2153400182724,0,0,0,0.13963226974010468
49.996395,-1.0680981874465942,0,0,0,0.15758831799030304
50.996395,-0.8238164186477661,0,0,0,0.20418277382850647
51.996395,-0.8771723508834839,0,0,0,0.1915891468524933
52.996395,-0.8970011472702026,0,0,0,0.1887243092060089
53.996395,-0.7854253053665161,0,0,0,0.2162586748600006
54.996395,-0.8739164471626282,0,0,0,0.19432710111141205
55.996395,-0.9135524034500122,0,0,0,0.18555207550525665
56.996395,-1.1304783821105957,0,0,0,0.1502859741449356
57.996395,-1.1047407388687134,0,0,0,0.15438999235630035
58.996395,-0.9815881252288818,0,0,0,0.17272625863552094
59.996395,-1.5285307168960571,0,0,0,0.11282909661531448
60.996395,-1.089565396308899,0,0,0,0.15790806710720062
61.996395,-1.4294456243515015,0,0,0,0.12122469395399094
62.996395,-1.030097246170044,0,0,0,0.16866295039653778
63.996395,-1.2685673236846924,0,0,0,0.13717424869537354
64.996395,-0.9766026139259338,0,0,0,0.17724497616291046
65.996395,-0.9153980612754822,0,0,0,0.19050756096839905
66.996395,-1.2231653928756714,0,0,0,0.1424977332353592
67.996395,-1.0195229053497314,0,0,0,0.17141646146774292
68.996395,-1.310050129890442,0,0,0,0.13248540461063385
69.996395,-0.9545407295227051,0,0,0,0.18423813581466675
70.996395,-0.9433453679084778,0,0,0,0.18494980037212372
71.996395,-0.8381229639053345,0,0,0,0.20865100622177124
72.996395,-1.0219115018844604,0,0,0,0.17214930057525635
73.996395,-1.1129930019378662,0,0,0,0.15853209793567657
74.996395,-0.8671728372573853,0,0,0,0.2015175223350525
75.996395,-0.8132602572441101,0,0,0,0.21645888686180115
76.996395,-1.0021402835845947,0,0,0,0.175421804189682
77.996395,-0.7644687294960022,0,0,0,0.2318211942911148
78.996395,-0.7693960666656494,0,0,0,0.22953671216964722
79.996395,-1.0207462310791016,0,0,0,0.1741715669631958
80.996395,-0.9514960646629333,0,0,0,0.1869455873966217
81.996395,-0.7785509824752808,0,0,0,0.23060716688632965
82.996395,-1.1965564489364624,0,0,0,0.15018607676029205
83.996395,-0.9538391828536987,0,0,0,0.18782009184360504
84.996395,-1.1407898664474487,0,0,0,0.15839883685112
85.996395,-1.4251797199249268,0,0,0,0.12641122937202454
86.996395,-1.172079086303711,0,0,0,0.1529964953660965
87.996395,-1.0556449890136719,0,0,0,0.17036576569080353
88.996395,-0.8117324113845825,0,0,0,0.22185154259204865
89.996395,-1.472788691520691,0,0,0,0.12268407642841339
90.996395,-0.9174789190292358,0,0,0,0.19750967621803284
91.996395,-0.871740460395813,0,0,0,0.20880307257175446
92.996395,-0.7903330326080322,0,0,0,0.22977446019649506
93.996395,-1.1029376983642578,0,0,0,0.1645464152097702
94.996395,-1.1642392873764038,0,0,0,0.15611542761325836
95.996395,-1.3298479318618774,0,0,0,0.1371014416217804
96.996395,-0.9348506927490234,0,0,0,0.1942339539527893
97.996395,-1.090867042541504,0,0,0,0.16717125475406647
98.996395,-0.6939693689346313,0,0,0,0.2625266909599304
99.996395,-0.7575082182884216,0,0,0,0.24362845718860626
100.996395,-0.7945237755775452,0,0,0,0.2326039969921112
101.996395,-0.9475231766700745,0,0,0,0.19327740371227264
102.996395,-0.9179927706718445,0,0,0,0.2007974088191986
103.996395,-1.1762102842330933,0,0,0,0.155785471200943
104.996395,-1.0667455196380615,0,0,0,0.17386767268180847
105.996395,-1.1976624727249146,0,0,0,0.1540711522102356
106.996395,-1.4011335372924805,0,0,0,0.13194207847118378
107.996395,-1.2898249626159668,0,0,0,0.14357304573059082
108.996395,-1.2935272455215454,0,0,0,0.14398783445358276
109.996395,-0.5869832038879395,0,0,0,0.3156602084636688
110.996395,-0.8400483131408691,0,0,0,0.22097787261009216
111.996395,-0.6663808822631836,0,0,0,0.2823392152786255
112.996395,-0.9254910349845886,0,0,0,0.20149396359920502
113.996395,-0.7518100142478943,0,0,0,0.2483218014240265
114.996395,-0.8635995388031006,0,0,0,0.21615366637706757
115.996395,-1.1964890956878662,0,0,0,0.1564519852399826
116.996395,-0.7852895259857178,0,0,0,0.23820148408412933
117.996395,-0.9859526753425598,0,0,0,0.19025424122810364
118.996395,-1.4196436405181885,0,0,0,0.13153012096881866
119.996395,-0.9906346797943115,0,0,0,0.18919025361537933
120.996395,-1.3833757638931274,0,0,0,0.1370643973350525
121.996395,-1.1499937772750854,0,0,0,0.16333861649036407
122.996395,-1.4863829612731934,0,0,0,0.1263231337070465
123.996395,-1.3673144578933716,0,0,0,0.13836701214313507
124.996395,-1.2112419605255127,0,0,0,0.15620936453342438
125.996395,-1.5655567646026611,0,0,0,0.1204318106174469
126.996395,-1.439684271812439,0,0,0,0.13169455528259277
127.996395,-1.0031139850616455,0,0,0,0.18862299621105194
128.996395,-1.3322396278381348,0,0,0,0.14273439347743988
129.996395,-1.4526840448379517,0,0,0,0.13107290863990784
130.996395,-1.3762372732162476,0,0,0,0.13799668848514557
131.996395,-1.1112185716629028,0,0,0,0.17249073088169098
132.996395,-1.2123968601226807,0,0,0,0.15760329365730286
133.996395,-1.5485345125198364,0,0,0,0.12353119999170303
134.996395,-1.0199400186538696,0,0,0,0.18729060888290405
135.996395,-1.2630696296691895,0,0,0,0.15189148485660553
136.996395,-0.9945312738418579,0,0,0,0.19297000765800476
137.996395,-0.7663245797157288,0,0,0,0.2515869140625
138.996395,-1.2651349306106567,0,0,0,0.15233129262924194
139.996395,-1.4993351697921753,0,0,0,0.1288856416940689
140.996395,-1.2242637872695923,0,0,0,0.15846483409404755
141.996395,-1.1407169103622437,0,0,0,0.16924111545085907
142.996395,-1.4459484815597534,0,0,0,0.13391458988189697
143.996395,-1.397122859954834,0,0,0,0.13803067803382874
144.996395,-1.1814796924591064,0,0,0,0.16492220759391785
145.996395,-1.3248443603515625,0,0,0,0.14615510404109955
146.996395,-0.9853812456130981,0,0,0,0.1977793127298355
147.996395,-1.5128239393234253,0,0,0,0.12857075035572052
148.996395,-1.1357553005218506,0,0,0,0.1717657893896103
149.996395,-1.6090694665908813,0,0,0,0.1207592636346817
150.996395,-1.0106366872787476,0,0,0,0.19319048523902893
151.996395,-1.0414601564407349,0,0,0,0.1867184042930603
152.996395,-1.3651502132415771,0,0,0,0.1429257094860077
153.996395,-0.8932473063468933,0,0,0,0.2197195142507553
154.996395,-0.9346601366996765,0,0,0,0.20966452360153198
155.996395,-1.1682380437850952,0,0,0,0.16809266805648804
156.996395,-1.1155692338943481,0,0,0,0.17514097690582275
157.996395,-1.1452622413635254,0,0,0,0.17025558650493622
158.996395,-0.9907140135765076,0,0,0,0.19605307281017303
159.996395,-1.311105728149414,0,0,0,0.1490176022052765
160.996395,-1.1851296424865723,0,0,0,0.16599352657794952
161.996395,-0.8995484709739685,0,0,0,0.21665528416633606
162.996395,-1.1314736604690552,0,0,0,0.1730985939502716
163.996395,-1.126739740371704,0,0,0,0.17451316118240356
164.996395,-1.1404482126235962,0,0,0,0.17257224023342133
165.996395,-0.9695331454277039,0,0,0,0.2030787169933319
166.996395,-0.699413537979126,0,0,0,0.2814391255378723
167.996395,-0.6801849007606506,0,0,0,0.2884323000907898
168.996395,-1.1444734334945679,0,0,0,0.17175859212875366
169.996395,-0.6201783418655396,0,0,0,0.31387433409690857
170.996395,-0.6187261939048767,0,0,0,0.3160238564014435
171.996395,-0.9508575201034546,0,0,0,0.20651870965957642
172.996395,-0.88141268491745,0,0,0,0.224429652094841
173.996395,-0.9772695899009705,0,0,0,0.20257468521595
174.996395,-1.020409345626831,0,0,0,0.19286024570465088
175.996395,-1.0101115703582764,0,0,0,0.19586360454559326
176.996395,-0.7496130466461182,0,0,0,0.2638038694858551
177.996395,-0.744854748249054,0,0,0,0.26433101296424866
178.996395,-0.7629579305648804,0,0,0,0.25967803597450256
179.996395,-1.0107654333114624,0,0,0,0.1953982710838318
180.996395,-0.9936739206314087,0,0,0,0.1996563822031021
181.996395,-0.715182363986969,0,0,0,0.2761031687259674
182.996395,-0.9609220027923584,0,0,0,0.20536327362060547
183.996395,-1.0311875343322754,0,0,0,0.19179940223693848
184.996395,-1.3539544343948364,0,0,0,0.14603355526924133
185.996395,-1.1501315832138062,0,0,0,0.1730114370584488
186.996395,-1.1053576469421387,0,0,0,0.17984098196029663
187.996395,-0.8354538679122925,0,0,0,0.23888187110424042
188.996395,-0.9260329008102417,0,0,0,0.21455121040344238
189.996395,-0.7722399830818176,0,0,0,0.2594088912010193
190.996395,-1.0393767356872559,0,0,0,0.192071333527565
191.996395,-1.2125003337860107,0,0,0,0.16489872336387634
192.996395,-0.8582459688186646,0,0,0,0.23404192924499512
193.996395,-1.1014782190322876,0,0,0,0.1825450211763382
194.996395,-1.3446569442749023,0,0,0,0.14814065396785736
