Time;Input voltage [V];Input current [A];Motor revolutions [x100rpm];Controller temperature [°C];BEC voltage [V];BEC current [A];BEC temperature [°C];Input request [%];Incoming power [W];Cruising speed (car) [km/h];Motor temperature [°C];Battery temperature [°C];Output power [%];Automatic regulation;I*T fuse;Low voltage;High current;ESC overheated;Motor overheated;Battery overheated;HW current fuse;HW overvoltage/undervoltage;Pulse current [A];Capacity [%];Motor run time [s];Lowest cell [V];Highest cell [V];Lower cell index;Highest voltage cell index;
11:52:34.742;16.975;0;0;27;8.266;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:35.047;16.957;0;0;26;8.246;0.004;36;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:35.335;16.975;0;0;26;8.25;0;36;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:35.640;16.923;2.8;0;27;8.25;0;36;0;40;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:35.944;16.975;0;0;25;8.25;0.062;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:36.249;16.975;0;0;26;8.248;0;36;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:36.537;16.87;0;0;26;8.248;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:36.840;16.905;0;0;26;8.248;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:37.144;16.923;0;0;24;8.248;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:37.450;16.923;0;0;26;8.25;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:37.737;16.923;0;0;26;8.25;0;36;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:38.042;16.923;0;0;26;8.266;0;36;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
11:52:38.346;16.94;0;0;28;8.248;0;36;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;51;0;0;0;0;
