Time;Input voltage [V];Input current [A];Motor revolutions [x100rpm];Controller temperature [°C];BEC voltage [V];BEC current [A];BEC temperature [°C];Input request [%];Incoming power [W];Cruising speed (car) [km/h];Motor temperature [°C];Battery temperature [°C];Output power [%];Automatic regulation;I*T fuse;Low voltage;High current;ESC overheated;Motor overheated;Battery overheated;HW current fuse;HW overvoltage/undervoltage;Pulse current [A];Capacity [%];Motor run time [s];Lowest cell [V];Highest cell [V];Lower cell index;Highest voltage cell index;
13:25:24.947;16.853;0;0;24;8.243;0;29;1.961;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:25.250;16.905;0;0;24;8.257;0;29;1.961;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:25.554;16.975;0;0;26;8.243;0;30;1.961;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:25.859;16.923;0;0;24;8.252;0;29;1.961;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:26.146;17.079;0;0;24;8.255;0.008;30;1.961;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:26.450;16.975;0;0;24;8.252;0;30;1.961;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:26.755;16.87;0;0;23;8.255;0;30;1.961;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:27.060;16.975;0;0;24;8.248;0;30;1.961;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:27.348;16.923;2.5;0;24;8.25;0.012;30;1.961;40;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:27.652;16.923;0.5;0;29;8.257;0;30;2.941;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:27.955;16.783;0.3;0;24;8.257;0;32;2.941;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:28.260;16.975;0;0;24;8.243;0;30;2.941;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:28.564;16.957;0;0;24;8.252;0;30;2.941;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:28.853;16.957;0.3;0;23;8.257;0.019;30;2.941;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:29.156;16.923;0.1;0;24;8.246;0.015;30;2.941;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
13:25:29.460;16.975;0.5;0;24;8.255;0;30;2.941;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;
