Time;Input voltage [V];Input current [A];Motor revolutions [x100rpm];Controller temperature [°C];BEC voltage [V];BEC current [A];BEC temperature [°C];Input request [%];Incoming power [W];Cruising speed (car) [km/h];Motor temperature [°C];Battery temperature [°C];Output power [%];Automatic regulation;I*T fuse;Low voltage;High current;ESC overheated;Motor overheated;Battery overheated;HW current fuse;HW overvoltage/undervoltage;Pulse current [A];Capacity [%];Motor run time [s];Lowest cell [V];Highest cell [V];Lower cell index;Highest voltage cell index;
12:31:41.955;16.87;0.1;0;26;8.25;0;36;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:42.240;16.923;0;0;29;8.246;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:42.545;16.975;0;0;26;8.255;0;36;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:42.849;16.975;0.1;0;26;8.248;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:43.154;16.992;0.3;0;26;8.248;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:43.443;16.975;0;0;27;8.255;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:43.746;16.957;0.3;0;26;8.252;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:44.051;17.027;0;0;26;8.248;0;35;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:44.355;16.94;0;0;26;8.25;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:44.659;16.923;0;0;26;8.252;0;36;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:44.948;16.87;0;0;26;8.25;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:45.251;16.87;0.3;0;27;8.255;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:45.555;16.923;0;0;27;8.248;0;36;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:45.859;16.957;0.3;0;26;8.248;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:46.148;16.853;0;0;26;8.25;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:46.451;16.923;0;0;26;8.246;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:46.755;16.975;0.3;0;27;8.255;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:47.060;16.94;0;0;26;8.255;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:47.364;16.94;0;0;26;8.25;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:47.653;16.94;0;0;26;8.248;0;36;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;99;121;0;0;0;0;
12:31:47.956;16.835;3;44.7;26;8.407;0;36;19.608;50;42;25;0;19.608;0;0;0;0;0;0;0;0;0;15.4;99;121;0;0;0;0;
12:31:48.261;16.923;3.8;45.2;25;8.252;0;36;19.608;60;42.4;25;0;19.608;0;0;0;0;0;0;0;0;0;19.5;99;121;0;0;0;0;
12:31:48.565;16.853;3.7;45.1;25;8.25;0;36;19.608;60;42.3;25;0;19.608;0;0;0;0;0;0;0;0;0;19;99;122;0;0;0;0;
