Time (s),Powertrain 1 ESC throttle - target (μs)
266.45,1311.764
267.45,1311.764
268.45,1311.764
269.45,1311.764
270.45,1318.0385999999999
271.45,1333.7252
272.45,1329.412
273.45,1329.2158
274.45,1329.412
275.45,1329.412
276.45,1329.412
277.45,1329.412
278.45,1329.412
279.45,1329.804
280.45,1330.1960000000001
281.45,1329.412
282.45,1329.412
283.45,1329.412
284.45,1329.412
285.45,1329.412
286.45,1329.2158
287.45,1329.412
288.45,1329.2158
289.45,1329.412
290.45,1329.412
291.45,1329.412
292.45,1329.412
293.45,1329.2158
294.45,1329.412
295.45,1329.412
296.45,1328.6272000000001
297.45,1329.412
298.45,1329.412
299.45,1329.412
300.45,1329.2158
301.45,1329.412
302.45,1329.412
303.45,1329.412
304.45,1329.2158
305.45,1329.412
306.45,1329.412
307.45,1329.412
308.45,1329.2158
309.45,1329.412
310.45,1329.412
311.45,1329.412
312.45,1329.2158
313.45,1329.412
314.45,1329.412
315.45,1329.412
316.45,1329.412
317.45,1329.412
318.45,1329.2158
319.45,1329.412
320.45,1329.412
321.45,1329.412
322.45,1329.412
323.45,1329.412
324.45,1329.412
325.45,1329.412
326.45,1329.412
327.45,1329.412
328.45,1329.412
329.45,1329.412
330.45,1329.412
331.45,1329.412
332.45,1329.412
333.45,1329.412
334.45,1329.412
335.45,1330.0
336.45,1329.412
337.45,1329.412
338.45,1329.412
339.45,1329.412
340.45,1329.412
341.45,1329.412
342.45,1329.412
343.45,1329.412
344.45,1329.412
345.45,1329.412
346.45,1329.412
347.45,1329.412
348.45,1329.412
349.45,1329.412
350.45,1329.412
351.45,1329.412
352.45,1329.412
353.45,1329.412
354.45,1329.412
355.45,1329.804
356.45,1330.1960000000001
357.45,1329.412
358.45,1329.412
359.45,1329.412
360.45,1329.412
361.45,1329.412
362.45,1329.2158
363.45,1329.412
364.45,1329.412
365.45,1329.412
366.45,1329.412
367.45,1329.412
368.45,1329.412
369.45,1329.2158
370.45,1329.412
371.45,1329.412
372.45,1329.412
373.45,1329.412
374.45,1330.1960000000001
375.45,1329.412
376.45,1329.412
377.45,1329.2158
378.45,1329.412
379.45,1329.412
380.45,1329.412
381.45,1329.412
382.45,1329.412
383.45,1329.412
384.45,1329.412
385.45,1315.8826000000001
386.45,1313.726
387.45,1313.726
388.45,1313.726
389.45,1313.726
390.45,1313.922
391.45,1313.922
392.45,1313.726
393.45,1313.726
394.45,1313.922
395.45,1313.726
396.45,1313.726
397.45,1313.726
398.45,1313.922
399.45,1313.726
400.45,1313.726
401.45,1313.726
402.45,1313.726
403.45,1313.726
404.45,1326.6668000000002
405.45,1335.294
406.45,1335.294
407.45,1335.294
408.45,1335.294
409.45,1335.294
410.45,1335.294
411.45,1335.294
412.45,1335.294
413.45,1335.294
414.45,1335.294
415.45,1335.294
416.45,1335.294
417.45,1335.294
418.45,1335.294
419.45,1335.294
420.45,1335.294
421.45,1335.294
422.45,1335.294
423.45,1335.0980000000002
424.45,1334.902
425.45,1335.294
426.45,1335.294
427.45,1335.294
428.45,1335.294
429.45,1335.294
430.45,1335.294
431.45,1335.294
432.45,1335.294
433.45,1335.294
434.45,1335.294
435.45,1335.294
436.45,1335.294
437.45,1335.294
438.45,1335.294
439.45,1335.294
440.45,1334.314
441.45,1334.7060000000001
442.45,1335.294
443.45,1335.294
444.45,1335.294
445.45,1335.294
446.45,1335.294
447.45,1335.294
448.45,1335.294
449.45,1335.294
450.45,1335.294
451.45,1335.294
452.45,1335.294
453.45,1335.294
454.45,1335.294
455.45,1335.294
456.45,1335.294
457.45,1335.294
458.45,1335.294
459.45,1334.902
460.45,1334.902
461.45,1333.922
462.45,1334.51
463.45,1334.118
464.45,1334.51
465.45,1335.294
466.45,1334.902
467.45,1334.7060000000001
468.45,1334.314
469.45,1335.294
470.45,1328.4312
471.45,1244.7056
472.45,1200.0
473.45,1200.0
474.45,1200.0
475.45,1200.0
476.45,1200.0
477.45,1200.0
478.45,1200.0
479.45,1200.0
