# 
# 10/20/2025 09:39:31
# The parameters defined in the project are:
# ,P1 - Thermal Condition Magnitude [C],P2 - Pressure Minimum [MPa],P3 - Pressure Maximum [MPa],P4 - Pressure Average [MPa],P5 - Gap Minimum [mm],P6 - Gap Maximum [mm],P7 - Gap Average [mm],P8 - Pressure Minimum [MPa],P9 - Pressure Maximum [MPa],P10 - Pressure Average [MPa],P11 - Gap Minimum [mm],P12 - Gap Maximum [mm],P13 - Gap Average [mm],P14 - Total Deformation Minimum [mm],P15 - Total Deformation Maximum [mm],P16 - Total Deformation Average [mm],P17 - Equivalent Elastic Strain Minimum [mm mm^-1],P18 - Equivalent Elastic Strain Maximum [mm mm^-1],P19 - Equivalent Elastic Strain Average [mm mm^-1],P20 - Equivalent Stress Minimum [MPa],P21 - Equivalent Stress Maximum [MPa],P22 - Equivalent Stress Average [MPa],P23 - Safety Factor Minimum,P24 - Solution MAPDL Elapsed Time [s]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
DP 0,-20,0,44.627130508422852,16.363322224189179,-0.0001613370332052,0,-8.5954635242831332E-07,201.93529510498047,644.63543701171875,248.10773646159302,0,0,0,0,0.02910474793130978,0.012033719184361431,1.554909871970267E-07,0.0032168078363280406,0.00019539573221639782,0.030769817959651637,589.13145154609333,38.444548608524023,0.42435351116276315,586
DP 1,0,0,44.639015197753906,16.367347438956315,-0.00016137347847688943,0,-8.5968326595880463E-07,201.98612976074219,644.82217407226563,248.1713110175983,0,0,0,0,0.0250178974446137,0.011244283583404588,1.5196079878876388E-07,0.0032177221622656693,0.00018903844785560974,0.017156464933160122,589.29839399492312,37.24750136949109,0.4242332959796829,641
DP 2,20,0,44.650897979736328,16.371372618737386,-0.00016140993102453649,0,-8.598202001446508E-07,202.03696823120117,645.0089111328125,248.23488473747048,0,0,0,0,0.021944213212763689,0.012871598448780578,1.3334102959561279E-07,0.0032186364458704538,0.00018271263240288204,0.01805082464125007,589.46534339904679,36.05649722505887,0.42411314388462534,636
DP 3,40,0,44.66278076171875,16.375397813550059,-0.00016144639084814116,0,-8.5995718802094156E-07,202.08780288696289,645.1956787109375,248.29845934301724,0,0,0,0,0.024225584752705438,0.015949579321967944,6.4661135112942247E-08,0.0032195507506416602,0.00018786012433706824,0.012655384838581085,589.63228987487526,37.0257246284619,0.42399306193534969,574
DP 4,60,0,44.674663543701172,16.379422983805068,-0.000161482828843873,0,-8.6009409488599889E-07,202.13862991333008,645.38241577148438,248.36203343759385,0,0,0,0,0.029247819468545516,0.019827074381026089,9.1138263158541122E-08,0.0032204651189121332,0.00019429665491133488,0.00052715837955474854,589.79925106224925,38.238082004464395,0.4238730373932168,694
DP 5,80,0,44.686546325683594,16.383448154937913,-0.00016151928866747767,0,-8.6023106619606512E-07,202.18946838378906,645.56918334960938,248.42560921002993,0,0,0,0,0.037599855011496222,0.024219894102814488,1.9081524804676064E-08,0.0042101196944713589,0.00020073975161001245,0.000926266424357905,589.96619942816312,39.45174029299357,0.42375308999450756,579
DP 6,100,0,44.698431015014648,16.387473367715224,-0.00016155573393916711,0,-8.60367990630906E-07,202.24030303955078,645.75592041015625,248.48918321527194,0,0,0,0,0.046002533839172521,0.028944184210658357,1.1581854941766778E-07,0.0056606106460094455,0.00020718614313943454,0.0041187743190676113,782.64661518823732,40.66603387698585,0.31942896723557868,610
DP 7,120,0,44.711149215698242,16.391272227515813,-0.00016159645019797608,0,-8.6138877238205385E-07,202.28828430175781,645.9276123046875,248.55068288892863,0,0,0,0,0.054432797618687127,0.033868346000266787,1.0611210043975916E-07,0.0071111019700765606,0.00021363519192952476,0.012663547648116946,983.263728619412,41.88086067802125,0.25425528545736331,1346
DP 8,140,0,44.722206115722656,16.395524101740481,-0.00016162863175850362,0,-8.60641712647647E-07,202.34197616577148,646.12945556640625,248.6163328818279,0,0,0,0,0.06287853440755177,0.038910949196903494,5.7771918804405686E-08,0.0085615933872759346,0.00022008388010272273,0.0071782656013965607,1183.88088252867,43.095656920856321,0.2111698936011375,739
