# 
# 10/19/2025 18:41:10
# The parameters defined in the project are:
# ,P24 - Parameter 1 [mm],P25 - Pressure Minimum [MPa],P26 - Pressure Maximum [MPa],P27 - Pressure Average [MPa],P28 - Gap Minimum [mm],P29 - Gap Maximum [mm],P30 - Gap Average [mm],P31 - Pressure Minimum [MPa],P32 - Pressure Maximum [MPa],P33 - Pressure Average [MPa],P34 - Gap Minimum [mm],P35 - Gap Maximum [mm],P36 - Gap Average [mm],P37 - Total Deformation Minimum [mm],P38 - Total Deformation Maximum [mm],P39 - Total Deformation Average [mm],P40 - Equivalent Elastic Strain Minimum [mm mm^-1],P41 - Equivalent Elastic Strain Maximum [mm mm^-1],P42 - Equivalent Elastic Strain Average [mm mm^-1],P43 - Equivalent Stress Minimum [MPa],P44 - Equivalent Stress Maximum [MPa],P45 - Equivalent Stress Average [MPa],P46 - Safety Factor Minimum,P47 - Solution MAPDL Elapsed Time [s]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47
DP 0,4,0,31.14655876159668,8.40161592612142,-0.00011165600153617561,0,-2.2031608716243871E-07,0,1.6512341499328613,0.16555789075391264,-0.0007453322468791157,0,-0.00026847949389513867,0,0.020630093140693671,0.011854433841609594,3.1724244897723963E-09,0.00090725108748301864,0.00011299989797492217,0.00018554739654063832,164.85013185506989,22.393345773452122,1.5165289659567318,874
DP 1,4.006,0,27.362857818603516,8.355697958087843,-0.00013568334543379024,0,-3.0086675822325E-07,57.358501434326172,231.01029968261719,75.1255706479222,0,0,0,0,0.022610034758958945,0.013783743407677412,3.422292227384105E-09,0.002125930093990808,0.00014989860307907974,0.00014950521290302277,382.37843877993947,29.604362858030086,0.6538025543429663,650
DP 3,4.012,0,27.573312759399414,8.3373704645961961,-0.0001756233541527763,0,-1.4393292761106141E-06,117.15647888183594,422.51449584960938,146.27628508760782,0,0,0,0,0.02534596906039446,0.016467786411069833,7.0544541319605969E-09,0.0040914089080284939,0.00019097167400516032,0.0013278583064675331,755.30538235363292,37.621445159173142,0.33099194821168415,636
DP 4,4.018,0,32.333477020263672,8.3492368176715779,-0.00024471261713188142,0,-5.8898247010423115E-06,179.7408332824707,663.03118896484375,226.0647199312979,0,0,0,0,0.028174091822551508,0.019196536672249735,1.2777856550627575E-08,0.0063970969481901693,0.00023242338549122211,0.0023947786567955205,1191.2909458788356,45.70866246635326,0.20985637544283595,778
DP 6,4.024,0,37.170803070068359,8.5625580764516886,-0.00029519411327783018,0,-1.453584704462776E-05,238.02046203613281,877.29409790039063,300.10981503292066,0,0,0,0,0.03101113527805209,0.021852984924178837,1.8896497255838085E-08,0.008749269626357338,0.00027639809569391516,0.0030450671409153578,1632.8077935293961,54.310552662817123,0.15311048917742631,733
