# 
# 10/19/2025 17:09:56
# The parameters defined in the project are:
# ,P1 - Parameter 1 [mm],P2 - Parameter 2 [mm],P3 - Pressure Minimum [MPa],P4 - Pressure Maximum [MPa],P5 - Pressure Average [MPa],P6 - Gap Minimum [mm],P7 - Gap Maximum [mm],P8 - Gap Average [mm],P9 - Pressure Minimum [MPa],P10 - Pressure Maximum [MPa],P11 - Pressure Average [MPa],P12 - Gap Minimum [mm],P13 - Gap Maximum [mm],P14 - Gap Average [mm],P15 - Total Deformation Minimum [mm],P16 - Total Deformation Maximum [mm],P17 - Total Deformation Average [mm],P18 - Equivalent Elastic Strain Minimum [mm mm^-1],P19 - Equivalent Elastic Strain Maximum [mm mm^-1],P20 - Equivalent Elastic Strain Average [mm mm^-1],P21 - Equivalent Stress Minimum [MPa],P22 - Equivalent Stress Maximum [MPa],P23 - Equivalent Stress Average [MPa],P24 - Safety Factor Minimum,P25 - Solution MAPDL Elapsed Time [s]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
DP 0,3,3,0,26.806404113769531,8.3357924418470812,-0.00016739906277507544,0,-1.1062846067840859E-06,110.50088691711426,401.93911743164063,137.75102072192243,0,0,0,0,0.024886607031273596,0.016019336085034308,5.8908516953337653E-09,0.0037943562069399791,0.00018428840970598657,0.0010663615539670062,700.73680859190392,36.323823674205684,0.35676732966598784,723
DP 1,3.5,3.5,0,25.273159027099609,8.1414552066236627,-2.6038306714326609E-05,0,-7.4775276834066907E-07,111.97966766357422,460.82186889648438,158.04913059226931,0,0,0,0,0.02614862092543312,0.017360178812378248,6.4564006363454496E-09,0.0044603426940739155,0.00018057500294467739,0.0012011760845780373,889.27949968337771,35.576921257906655,0.28112646259023277,743
DP 2,4,4,0,27.022088050842285,8.4361152566861843,-6.8603985710069537E-05,0,-8.8739305965646047E-07,113.82375907897949,418.81924438476563,142.28062379027591,0,0,0,0,0.024873179653298536,0.015996218019710459,6.0570924942382476E-09,0.0039024440233003011,0.00018412627363694902,0.0011109914630651474,716.99796081048021,36.285977297237835,0.34867602652231383,614
DP 3,4.5,4.5,0,26.296924591064453,8.4416374647654084,-0.00017106124869314954,0,-1.1080986156144534E-06,100.23798751831055,431.80885314941406,133.4342627941559,0,0,0,0,0.024129615017705559,0.015183156352643536,5.2992651933259083E-09,0.0053087434498593211,0.00019043440264686394,0.00092491414397955635,1058.142736784579,37.5428432496498,0.23626302133839253,551
DP 4,5,5,0,26.621369361877441,8.330949850647535,-2.6788742616190575E-05,0,-7.76427928484513E-07,93.2569351196289,457.15592956542969,132.13004947919856,0,0,0,0,0.02363664373871717,0.01460940645546341,3.9192393774811762E-09,0.0046997928293421865,0.00019551831167575968,0.00055123399943113327,915.73436599576189,38.555333060020317,0.27300493383597341,691
