# 
# 10/20/2025 09:38:38
# The parameters defined in the project are:
# ,P1 - Rotational Velocity Z Component [rev min^-1],P2 - Pressure Minimum [MPa],P3 - Pressure Maximum [MPa],P4 - Pressure Average [MPa],P5 - Gap Minimum [mm],P6 - Gap Maximum [mm],P7 - Gap Average [mm],P8 - Pressure Minimum [MPa],P9 - Pressure Maximum [MPa],P10 - Pressure Average [MPa],P11 - Gap Minimum [mm],P12 - Gap Maximum [mm],P13 - Total Deformation Minimum [mm],P14 - Total Deformation Maximum [mm],P15 - Total Deformation Average [mm],P16 - Equivalent Elastic Strain Minimum [mm mm^-1],P17 - Equivalent Elastic Strain Maximum [mm mm^-1],P18 - Equivalent Elastic Strain Average [mm mm^-1],P19 - Equivalent Stress Minimum [MPa],P20 - Equivalent Stress Maximum [MPa],P21 - Equivalent Stress Average [MPa],P22 - Safety Factor Minimum,P23 - Solution MAPDL Elapsed Time [s]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23
DP 0,25000,0,46.49254035949707,16.168103639712896,-0.00016571949527133256,0,-1.0000686818159057E-06,199.72217559814453,643.935546875,245.85217140463041,0,0,0,0.021773555306300173,0.012371644731984472,4.9725527584421059E-09,0.003220097775655714,0.00020201545241210178,0.00037867855280638435,589.87051334157672,39.898985750737786,0.42382182927532147,549
DP 1,20000,0,44.65208625793457,16.371775115489786,-0.0001614135762793012,0,-8.5983391032043583E-07,202.04204940795898,645.02761840820313,248.24124262351231,0,0,0,0.022123187336577057,0.013120075376097634,3.2192419008314488E-09,0.0032187278636477208,0.00018209777519609459,0.00027466285973787308,589.48203982377834,35.940572329032548,0.4241011313503899,577
DP 2,15000,0,46.857841491699219,16.530157059526296,-0.00015813227946637198,0,-7.6691345551171591E-07,203.84627151489258,645.87619018554688,250.09931882872394,0,0,0,0.022436083276675654,0.013775498031311615,1.8598759199406345E-09,0.0032176652669229293,0.00016786439010400288,0.00019376259297132492,589.18034937148764,33.111545155832232,0.42431829280574146,549
DP 3,10000,0,48.43535041809082,16.643461126906445,-0.00015577387966914102,0,-7.022188047050257E-07,205.13492584228516,646.48187255859375,251.42647670622796,0,0,0,0.023017263556552356,0.014277380362475113,9.2210939578452056E-10,0.00321690774184059,0.0001591943731081225,7.3800794780254364E-05,588.96513944924152,31.390424991923464,0.42447334019426386,680
DP 4,5000,0,49.3820915222168,16.711434306201788,-0.00015435776731465012,0,-6.63321812753901E-07,205.90808486938477,646.84515380859375,252.22274941262077,0,0,0,0.02356426364421162,0.01459059857955953,2.9609442328548674E-10,0.0032164539337496867,0.00015631272617391386,1.21147750178352E-05,588.83611983040009,30.819977585756114,0.42456634635797541,576
DP 5,1000,0,49.685092926025391,16.733182184261562,-0.00015390407497761771,0,-6.5083663935962627E-07,206.15548706054688,646.96133422851563,252.47755415332728,0,0,0,0.023739339704005404,0.014692618355706823,7.5968391299863214E-11,0.003216308859092268,0.00015673707112936214,6.5067329160228837E-06,588.79484763229311,30.904558015219219,0.42459610678544341,610
DP 6,100,0,49.697595596313477,16.73407921579166,-0.00015388532483484596,0,-6.5032102976765451E-07,206.16569519042969,646.96615600585938,252.48806396194584,0,0,0,0.023746559484651153,0.014696845456144473,1.1625283526627006E-12,0.003216302805495533,0.00015677711680679273,1.1260114263222921E-07,588.79314456600832,30.912519755595689,0.42459733491678425,606
