# 
# 10/20/2025 15:57:00
# The parameters defined in the project are:
# ,P1 - Parameter 1 [mm],P2 - Parameter 2 [mm],P3 - Pressure Minimum [MPa],P4 - Pressure Maximum [MPa],P5 - Pressure Average [MPa],P6 - Gap Minimum [mm],P7 - Gap Maximum [mm],P8 - Gap Average [mm],P9 - Pressure Minimum [MPa],P10 - Pressure Maximum [MPa],P11 - Pressure Average [MPa],P12 - Gap Minimum [mm],P13 - Gap Maximum [mm],P14 - Gap Average [mm],P15 - Total Deformation Minimum [mm],P16 - Total Deformation Maximum [mm],P17 - Total Deformation Average [mm],P18 - Equivalent Elastic Strain Minimum [mm mm^-1],P19 - Equivalent Elastic Strain Maximum [mm mm^-1],P20 - Equivalent Elastic Strain Average [mm mm^-1],P21 - Equivalent Stress Minimum [MPa],P22 - Equivalent Stress Maximum [MPa],P23 - Equivalent Stress Average [MPa],P24 - Safety Factor Minimum,P25 - Solution MAPDL Elapsed Time [s]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
DP 0,2.5000000000000004,2.5000000000000142,0,25.32484245300293,8.327440120859066,-2.2027346858521923E-05,0,-5.972929224071027E-07,87.187305450439453,431.06962585449219,162.42873378483168,0,0,0,0,0.030083573556388757,0.021448718755883271,4.0660439459827558E-09,0.0050723380409181118,0.00016946352523184905,0.000614597462117672,1010.2243128900839,33.392019204046811,0.24746979142166114,695
DP 1,3,3,0,26.789851188659668,8.541356743937385,-0.00013300781574798748,0,-1.1286021765519664E-06,99.605152130126953,434.41490173339844,161.07685947484336,0,0,0,0,0.0279040042206613,0.019192461214430766,4.8645430461569106E-09,0.0050096384948119521,0.00017557046450625508,0.00083521194756031036,998.49755536355383,34.598994765069946,0.25037617634324077,1212
DP 2,3.5,3.5,0,26.659670829772949,8.4636294642961385,-0.00016354939725715667,0,-1.0757123589820287E-06,106.34563827514648,400.20274353027344,147.84431764949693,0,0,0,0,0.026058604555942676,0.017263592834105283,6.3937506400435495E-09,0.003852090205658566,0.00018035800869297945,0.0011865580454468727,704.24278392072938,35.53441787755532,0.35499121284307028,576
DP 3,4,4,0,25.6180362701416,8.2818743213743069,-0.00016711970238247886,0,-1.2986306522811745E-06,114.61409187316895,420.62451171875,143.00824996025068,0,0,0,0,0.02487891455143619,0.016014138336015483,5.658938317942841E-09,0.005039117531850934,0.00018381283870437821,0.0010149776935577393,1002.962169249747,36.223633655068795,0.24926164482057109,709
DP 4,4.5,4.5,0,26.391103744506836,8.2578737114005012,-0.00017126169404946268,0,-1.3197341204406261E-06,102.47632789611816,424.11506652832031,136.13663169923666,0,0,0,0,0.024117751697978754,0.015170939784042813,5.0701614018322516E-09,0.0041201644991007112,0.00018931182949257443,0.00087755080312490463,753.8209528674796,37.322860463799728,0.33164373986822515,532
DP 5,5,5,0,25.75747013092041,8.2671731473599728,-3.8921547456993721E-05,0,-8.2807175688629345E-07,91.307153701782227,462.26325988769531,130.0841998594924,0,0,0,0,0.023649903497365586,0.014638866788958805,4.5148633165403851E-09,0.0041443593979168395,0.00019456180108338994,0.00073685171082615852,777.7475071711026,38.345801786987835,0.32144108170699753,707
DP 6,5.5,5.5,0,26.70860481262207,8.3461894738297087,-0.00016660428809700534,0,-1.3939047683068661E-06,80.660642623901367,441.71537780761719,123.23542189679466,0,0,0,0,0.023348038407535472,0.014302911253483907,4.5798559389353954E-09,0.0044044876174831934,0.00019929870627393518,0.0007554218173027108,805.13211606334039,39.314079347180559,0.31050804583769992,589
