# 
# 10/20/2025 12:46:52
# The parameters defined in the project are:
# ,P1 - i_rotorCasing [mm],P2 - i_rotor [mm],P3 - Pressure Minimum [MPa],P4 - Pressure Maximum [MPa],P5 - Pressure Average [MPa],P6 - Gap Minimum [mm],P7 - Gap Maximum [mm],P8 - Gap Average [mm],P9 - Pressure Minimum [MPa],P10 - Pressure Maximum [MPa],P11 - Pressure Average [MPa],P12 - Gap Minimum [mm],P13 - Gap Maximum [mm],P14 - Gap Average [mm],P15 - Total Deformation Minimum [mm],P16 - Total Deformation Maximum [mm],P17 - Total Deformation Average [mm],P18 - Equivalent Elastic Strain Minimum [mm mm^-1],P19 - Equivalent Elastic Strain Maximum [mm mm^-1],P20 - Equivalent Elastic Strain Average [mm mm^-1],P21 - Equivalent Stress Minimum [MPa],P22 - Equivalent Stress Maximum [MPa],P23 - Equivalent Stress Average [MPa],P24 - Safety Factor Minimum,P25 - Solution MAPDL Elapsed Time [s]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
DP 0,2.0000000000000004,34,0,30.070029258728027,10.550774259760718,-0.00030011130729690194,0,-2.148195587846428E-06,114.30347442626953,419.65748596191406,142.56469075235304,0,0,0,0,0.13483398004112315,0.10114520901203711,5.79232783959327E-09,0.010057537816464901,0.00018305185643686166,0.0010436810553073811,1594.1210179969139,35.978214028995971,0.15682623663925871,989
DP 1,2.5,34.5,0,27.25169563293457,9.0250660275024934,-0.000329683578456752,0,-3.3346342237659621E-06,115.44482231140137,416.79747009277344,143.97887049028952,0,0,0,0,0.13677112648404263,0.10295857255028626,5.7499308647734892E-09,0.0099588274024426937,0.00018278487239412953,0.0010338700376451015,1591.1285421688042,35.93200476694453,0.15712118372236283,1184
DP 2,3,35,0,25.083906173706055,7.7078003263209336,-0.00047253649972844869,0,-4.5819655590358376E-06,115.98517036437988,431.77510070800781,145.80430088922179,0,0,0,0,0.13550154088815403,0.10181524173240207,5.6128279801725967E-09,0.01140811899676919,0.00018418497301880046,0.0010019261389970779,1799.4509285718973,36.200926497377267,0.13893126843887216,949
DP 3,3.5,35.5,0,22.568998336791992,6.8844205775097782,-0.00041321932803839445,0,-4.02682528778617E-06,114.13458824157715,409.46803283691406,141.47315179254568,0,0,0,0,0.13708868326094586,0.10318125377457338,5.8431209870590806E-09,0.01084563322365284,0.00018553547786168229,0.0010553933680057526,1723.1392897025567,36.486112898039984,0.14508403440975123,1028
DP 4,4,36,0,22.295123100280762,6.4921986170211055,-0.00056750011572148651,0,-6.6352510412372586E-06,117.8087272644043,430.43568420410156,146.95955989841909,0,0,0,0,0.13551858053126081,0.10197070658413147,5.6314173324523153E-09,0.012403135187923908,0.00018666595029785866,0.0010062772780656884,1942.5004428062346,36.692886092847878,0.12870009936205595,2011
DP 5,4.5,36.5,0,23.587051391601563,6.3144769395068856,-0.00067978486185893416,0,-6.8559246452964E-06,120.35049057006836,454.05287170410156,152.32965316892174,0,0,0,0,0.13533944049248745,0.10173565465961411,5.39727174064808E-09,0.013330481946468353,0.00018814846810265558,0.000950938556343324,2079.1839216687431,36.994062460514456,0.12023948309457452,1871
DP 6,5,37,0,23.270417213439941,6.16463056511994,-0.00062294116166109836,0,-4.862045686306909E-06,117.54434394836426,410.69479370117188,144.7424556088138,0,0,0,0,0.1453504764681493,0.10943041867140742,5.7041574796912187E-09,0.0076826182194054127,0.00019038210691155438,0.0010232399217784405,1477.9803654379673,37.45904561036506,0.16914974369494953,1046
