,Time (s),MGM ESC throttle (μs),MGM force Fz (thrust) (N),MGM torque MZ (torque) (N⋅m),MGM voltage (V),MGM current (A),MGM rotation speed (rpm),MGM electrical power (W),MGM mechanical power (W),MGM motor & ESC efficiency (%),MGM propeller efficiency (N/W),MGM powertrain efficiency (N/W)
0,3.45,1250.0,1.6031880021095275,0.03514120243489738,16.976122760772704,2.437968409061432,3432.0045014314614,41.38777160644531,12.608245968818665,30.463239178061485,0.12828786801546807,0.039064213354140474
1,8.45,1300.0,3.522344762086868,0.06568418368697163,16.97522940635681,4.716895139217376,4885.317137538904,80.07037334442138,33.60251426696777,41.9666812568903,0.10484448503702874,0.04399179145693775
2,13.45,1350.0,4.951438140869141,0.09140044227242465,16.974432516098023,7.139241015911102,5926.682799966344,121.18456268310547,56.72615356445313,46.80976822972298,0.08728936519473787,0.04085885453969237
3,18.45,1400.0,6.751515412330628,0.12450132779777046,16.972066354751586,10.29443073272705,6921.245201269837,174.71774864196777,90.2368148803711,51.6471129655838,0.07482145875692363,0.038642662856727794
4,23.45,1450.0,8.925976133346557,0.16598049290478226,16.97074074745178,14.140117144584655,7991.4059139776,239.9682559967041,138.90200805664062,57.88238003849983,0.06426159963011738,0.03719529071822757
5,28.45,1500.0,11.44668128490448,0.2125194188207388,16.96863923072815,19.128632259368896,8962.212735209414,324.5868408203125,199.45181427001953,61.44728630781174,0.0573924550786614,0.035264885332435325
6,33.45,1550.0,13.705747437477111,0.2543757319450378,16.9660436630249,24.200064373016357,9753.676142981332,410.57935256958007,259.81451416015625,63.2798171043396,0.052751426491886334,0.03338094269856806
7,38.45,1600.0,15.857315492630004,0.2955152757465839,16.9633131980896,29.835337162017822,10534.145925973393,506.1061737060547,325.9911483764648,64.41180408000946,0.04864237541332835,0.031331515032798
8,43.45,1650.0,18.61175971031189,0.34550661146640776,16.959230422973633,37.296533298492434,11363.371282219618,632.5205322265625,411.1423934936523,65.00067234039307,0.04526860676705833,0.02942467359825963
9,48.45,1700.0,21.232985925674438,0.3963941462337971,16.956022596359254,45.37705545425415,12123.00934523436,769.4144927978516,503.22631454467773,65.40414318442345,0.04219296295195813,0.027595747774466817
10,53.45,1750.0,23.69242115020752,0.44473392590880395,16.950803565979005,53.923556900024415,12809.53484857061,914.0476028442383,596.5659423828125,65.2667185664177,0.039714334066957194,0.025920080626383374
11,58.45,1800.0,26.32238850593567,0.497906593978405,16.94418501853943,63.505618286132815,13397.95394803753,1076.05087890625,698.5731781005859,64.92062494158745,0.03767989687621588,0.024461747799068644
12,63.45,1850.0,28.525864553451537,0.5474906623363495,16.94055256843567,73.35553798675537,13969.414449133725,1242.6829742431642,800.8950012207031,64.44915518164635,0.03561732349917288,0.022954903636127656
13,68.45,1900.0,30.936352920532226,0.5981965437531471,16.93259463310242,84.31273097991944,14554.259439926222,1427.633203125,911.7187316894531,63.86240854859352,0.03393185148015614,0.021669540042057584
14,73.45,1950.0,33.23410301208496,0.6544602587819099,16.916214084625246,96.57011699676514,15021.339817155129,1633.6009674072266,1029.4822662353515,63.01917240023613,0.032282515335828016,0.020344047341495704
